,SongName,ArtistName
"385,One Dance,""Drake, WizKid, Kyla"""
"386,No Es Justo,""J Balvin, Zion & Lennox"""
387,Girls Like You (feat. Cardi B),Maroon 5
388,I'm a Mess,Bebe Rexha
389,ヒーロー,FUNKY MONKEY BABYS
390,Film Favorit,Sheila On 7
391,Don't Leave Me Alone (feat. Anne-Marie),David Guetta
392,Wasted (feat. Lil Uzi Vert),Juice WRLD
393,Naturaleza,Anuel AA
394,Look At Me!,XXXTENTACION
395,New Rules,Dua Lipa
"396,Scared to Be Lonely,""Martin Garrix, Dua Lipa"""
397,Shape of You,Ed Sheeran
398,No Hay Nadie Más,Sebastian Yatra
399,rockstar (feat. 21 Savage),Post Malone
400,Il ballo delle incertezze,Ultimo
"401,We The Funk,""Dillon Francis, Fuego"""
402,Ambiente,J Balvin
403,Löytäjä saa pitää,Mikael Gabriel
404,Punch,NCT 127
405,Tera Ghata,Gajendra Verma
406,bad guy,Billie Eilish
407,92 Explorer,Post Malone
"408,Infeliz,""Arcangel, Bad Bunny"""
409,Un4gettable Nights,Chivv
"410,Tutu,""Camilo, Pedro Capó"""
411,After Party,Don Toliver
412,After Party,Don Toliver
413,Him & I (with Halsey),G-Eazy
414,Medicina,Anitta
415,En algún lugar,Duncan Dhu
"416,A Partir De Hoy,""David Bisbal, Sebastian Yatra"""
417,Love Yourself,Justin Bieber
418,SOLO,JENNIE
419,HANN (Alone),(G)I-DLE
"420,Criminal,""Natti Natasha, Ozuna"""
421,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson
422,WAKE UP,Travis Scott
"423,Como Soy,""Pacho El Antifeka, Daddy Yankee, Bad Bunny"""
"424,Adictiva,""Daddy Yankee, Anuel AA"""
"425,Sıfır Sıkıntı,""Istanbul Trip, Muşta, Şehinşah, SvA"""
426,อาวรณ์,Polycat
427,Miss Lonely,Sech
428,I'm a Mess,Bebe Rexha
429,Djadja,Aya Nakamura
"430,Cuando Te Besé,""Becky G, Paulo Londra"""
"431,Calypso,""Luis Fonsi, Stefflon Don"""
"432,""Taki Taki (with Selena Gomez, Ozuna & Cardi B)"",DJ Snake"
433,Hon dansar vidare i livet,Hov1
434,ROCKSTAR (feat. Roddy Ricch),DaBaby
435,Pulanglah,Aishah
436,De Los Besos Que Te Di,Christian Nodal
437,All of Me,John Legend
"438,Te Boté - Remix,""Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam"""
439,everything i wanted,Billie Eilish
"440,Lose Somebody,""Kygo, OneRepublic"""
441,Si Estuviésemos Juntos,Bad Bunny
442,Roses - Imanbek Remix,SAINt JHN
"443,Happy Now,""Kygo, Sandro Cavazza"""
"444,No Me Conoce - Remix,""Jhay Cortez, J Balvin, Bad Bunny"""
"445,Like It Is,""Kygo, Zara Larsson, Tyga"""
446,Last Christmas,Wham!
"447,Du bist mein,""Zuna, Loredana, SRNO"""
448,Beden v sartseto,Preslava
"449,Ne reviens pas,""Gradur, Heuss L'enfoiré"""
450,Zor,maNga
"451,Sei Lá,""Projota, Vitão"""
452,Yaramızda Kalsın,Onur Can Özcan
"453,BUBBLETEA,""Quebonafide, Duit, Daria Zawiałow"""
454,2002,Anne-Marie
455,Tomorrow never knows,Mr.Children
456,Se Preparó,Ozuna
457,Bien Duro,C. Tangana
458,Better Now,Post Malone
459,Is There More,Drake
460,Chic,Izi
461,EL BAÑO (feat. Bad Bunny),Enrique Iglesias
462,Shake It Off,Taylor Swift
463,W Dobrą Stronę,Dawid Podsiadło
464,Se Preparó,Ozuna
465,Adan y Eva,Paulo Londra
"466,""thank u, next"",Ariana Grande"
467,Favorito,Camilo
"468,Que Mas Pues - Remix,""Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez"""
469,Roses - Imanbek Remix,SAINt JHN
470,There's Nothing Holdin' Me Back,Shawn Mendes
"471,Whenever (feat. Conor Maynard),""Kris Kross Amsterdam, The Boy Next Door"""
472,BOP,DaBaby
473,Vivo Pensando En Ti (feat. Maluma),Felipe Peláez
474,New Patek,Lil Uzi Vert
475,TKN (feat. Travis Scott),ROSALÍA
"476,Grip,""Seeb, Bastille"""
477,I’m Ready (with Demi Lovato),Sam Smith
478,Strapped,FOOL
479,when the party's over,Billie Eilish
"480,Yes Indeed,""Lil Baby, Drake"""
481,Fame,Apache 207
482,MIDDLE CHILD,J. Cole
483,Shape of You,Ed Sheeran
484,Solo (feat. Demi Lovato),Clean Bandit
485,STARGAZING,Travis Scott
486,Drift Away,Sons Of Zion
"487,Woh - Remix,""Fy, Light, MC Bin Laden, Mad Clip, Mente Fuerte"""
488,Adan y Eva,Paulo Londra
489,Si Te Vas,Lit Killah
"490,Una Vez Más,""Manuel Turizo, Noriel"""
"491,She Don't Give a Fo,""Duki, KHEA"""
"492,No Brainer,""DJ Khaled, Justin Bieber, Quavo, Chance the Rapper"""
493,Chambre 122,Koba LaD
494,Nena Maldición (feat. Lenny Tavárez),Paulo Londra
495,Just You and I,Tom Walker
"496,lovely,""Billie Eilish, Khalid"""
497,Sweet but Psycho,Ava Max
498,Love Someone,Lukas Graham
"499,Agora é Tudo Meu,""DENNIS, MC Kevinho"""
500,when the party's over,Billie Eilish
501,MIA (feat. Drake),Bad Bunny
502,Natural,Imagine Dragons
503,Boş Gemiler,Yüzyüzeyken Konuşuruz
504,No Scrubs,TLC
505,SAD!,XXXTENTACION
"506,Empire,""Sofiane, Kaaris"""
507,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez
"508,In the Name of Love,""Martin Garrix, Bebe Rexha"""
"509,Culpables,""KAROL G, Anuel AA"""
"510,'Till I Collapse,""Eminem, Nate Dogg"""
511,La player (Bandolera),Zion & Lennox
512,青と夏,Mrs. GREEN APPLE
513,Devuélveme a mi chica,Hombres G
514,เอาไว้ค่อยคุย,Gliss
515,Havana (feat. Young Thug),Camila Cabello
"516,Casualidad,""Nacho, Ozuna"""
517,1950,King Princess
"518,MILION+ BANDANA,""Milion Plus, Yzomandias, Konex, Karlo, Koky"""
519,Caro,Bad Bunny
520,Taste (feat. Offset),Tyga
521,Ahora No (feat. Kodigo),FMK
"522,Con Calma,""Daddy Yankee, Snow"""
523,Strapped,FOOL
524,needy,Ariana Grande
525,bad idea,Ariana Grande
526,rockstar (feat. 21 Savage),Post Malone
527,'Di Na Muli,The Itchyworms
528,Baby Girl (feat. Lalo Ebratt),Mario Bautista
"529,POP/STARS,""K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends"""
530,Thunder,Imagine Dragons
"531,In My Mind,""Dynoro, Gigi D'Agostino"""
532,Ocean (feat. Khalid),Martin Garrix
533,I Love It (& Lil Pump),Kanye West
534,黑夜問白天,JJ Lin
535,Better Now,Post Malone
536,rockstar (feat. 21 Savage),Post Malone
537,FLIP THE SWITCH (feat. Drake),Quavo
"538,""LIV$TIL (feat. Benny Jamz, Gilli & MellemFingaMuzik)"",Molo"
"539,Happier,""Marshmello, Bastille"""
540,Adan y Eva,Paulo Londra
541,no tears left to cry,Ariana Grande
542,idontwannabeyouanymore,Billie Eilish
543,Yo No Sé Mañana (salsa),Luis Enrique
544,I Fall Apart,Post Malone
"545,Callao,""Wisin & Yandel, Ozuna"""
546,First Off (feat. Travis Scott),Future
547,Paris in the Rain,Lauv
548,Noche De Fantasia,Bryant Myers
549,Better Now,Post Malone
"550,Azukita,""Steve Aoki, Daddy Yankee, Play-N-Skillz, Elvis Crespo"""
551,Shape of You,Ed Sheeran
"552,Amanece,""Anuel AA, Haze"""
553,A Ella,KAROL G
"554,Secreto,""Anuel AA, KAROL G"""
"555,Calma - Remix,""Pedro Capó, Farruko"""
556,I Found You (with Calvin Harris),benny blanco
557,Sweet but Psycho,Ava Max
558,Talk (feat. Disclosure),Khalid
"559,Falling Down - Bonus Track,""Lil Peep, XXXTENTACION"""
560,Youngblood,5 Seconds of Summer
561,High Hopes,Panic! At The Disco
562,Heaven,Kane Brown
563,Shotgun,George Ezra
564,Lucky You (feat. Joyner Lucas),Eminem
565,You Say,Lauren Daigle
566,初恋,Hikaru Utada
567,Believer,Imagine Dragons
"568,Język Ciała,""Tymek, Big Scythe"""
569,Demain - Bigflo & Oli X Petit Biscuit,Bigflo & Oli
570,Nadie Se Meta,Ala Jaza
571,Lucid Dreams,Juice WRLD
572,Nevermind (Alright),Dennis Lloyd
